Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Gene	Gene ID	Alteration	high/low-throughput
Akkermansia muciniphila	239935	gm0030	species	Kdm5b	75605	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Neurod1	18012	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Sox2	20674	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Gata3	14462	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Arnt	11863	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Onecut1	15379	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Stat3	20848	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Sox11	20666	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Relb	19698	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Gata4	14463	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Cdx2	12591	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ets2	23872	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hnf1b	21410	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ppargc1a	19017	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Notch1	18128	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ahr	11622	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Irf6	54139	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Sin3a	20466	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Brd7	26992	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tcf4	21413	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Mybl2	17865	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Mtpn	14489	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Esr1	13982	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Foxm1	14235	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	E2f2	242705	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	E2f3	13557	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Zbtb17	22642	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Bmi1	12151	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Mta1	116870	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Phf1	21652	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Foxa1	15375	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Smad2	17126	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Smad3	17127	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Smad4	17128	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tfdp1	21781	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Pgr	18667	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Clock	12753	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hey1	15213	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ppara	19013	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Cdx1	12590	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Mtdh	67154	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Pias2	17344	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Gfi1	14581	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Dbp	13170	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Atf3	11910	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Fbxw7	50754	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Nacc1	66830	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hdac1	433759	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Rbl1	19650	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Zeb1	21417	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Zeb2	24136	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Rnf2	19821	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hdac5	15184	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Rela	19697	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nfkbia	18035	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Tonsl	72749	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Foxo3	56484	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Gata2	14461	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Crebbp	12914	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Bach1	12013	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Jun	16476	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Esr2	13983	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ifi204	15951	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Cebpb	12608	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Stat5b	20851	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Klf15	66277	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Meox2	17286	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Sox9	20682	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Smad7	17131	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Stat5a	20850	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Sqstm1	18412	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Vdr	22337	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nr5a1	26423	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Rest	19712	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Gabpa	14390	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ddit3	13198	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nrf1	18181	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nr4a1	15370	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nr1i2	18171	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hif1a	29560	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Vhl	22346	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Yy1	22632	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Trp53	22059	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Nr3c1	14815	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Pttg1	30939	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hic1	15248	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Trp73	22062	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Rb1	19645	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Foxo4	54601	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Taf4	228980	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Lyl1	17095	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Crem	12916	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Lef1	16842	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Myc	17869	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Fos	14281	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tfap2c	21420	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Stat1	20846	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Klf5	12224	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ezh2	14056	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Elp1	230233	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Creb1	12912	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Nfya	18044	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	E2f1	13555	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Trp63	22061	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Foxo1	56458	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Klf2	16598	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tob1	22057	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tcf3	21423	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Stat4	20849	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Bcl6	12053	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hnf1a	21405	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Nfe2l2	18024	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Gli1	14632	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Neurog3	11925	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Fli1	14247	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ctnnb1	12387	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Egr1	13653	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ep300	328572	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Pdx1	18609	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Plag1	56711	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Mnt	17428	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Lyl1	17095	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ruvbl1	56505	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Taf4	228980	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Foxo4	54601	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Rb1	19645	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Trp73	22062	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hic1	15248	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hic1	15248	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Pttg1	30939	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nr3c1	14815	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Trp53	22059	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Yy1	22632	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hif1a	15251	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Vhl	22346	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Epas1	13819	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Epas1	13819	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Arntl	11865	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Arntl	11866	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Cdkn2a	12578	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Cdkn2a	12578	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Notch1	18128	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Notch2	18129	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Notch3	18131	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Notch4	18132	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Atf4	11911	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Brca1	12189	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hnf4a	15378	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hnf4a	15378	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Tbx2	21385	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nupr1	56312	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Mnt	17428	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Plag1	56711	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Pdx1	18609	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ep300	328572	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Egr1	13653	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Egr1	13653	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ctnnb1	12387	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Fli1	14247	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Neurog3	11925	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Gli1	14632	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nkx2-3	18089	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hnf1a	21405	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Stat4	20849	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Tcf3	21423	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Tob1	22057	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Klf2	16598	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Trp63	22061	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	E2f1	13555	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nfya	18044	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Creb1	12912	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Elp1	230233	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ezh2	14056	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Klf5	12224	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Stat1	20846	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Tfap2c	21420	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Fos	14281	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Myc	17869	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Lef1	16842	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Crem	12916	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il12a	16159	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tnf	21926	inhibition	low-throughput
Clostridia	186801	gm0181	class	Cyp7a1	13122	inhibition	low-throughput
Clostridia	186801	gm0181	class	Nr1h4	20186	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Tnf	21926	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Tnfrsf1b	21938	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Ffar1	233081	activation	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Cxcl15	20309	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Tjp1	21872	activation	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Cldn1	12737	activation	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Ocln	18260	activation	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Mylk3	213435	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Rela	19697	inhibition	low-throughput
Lactiplantibacillus plantarum	1590	gm0856	species	Ffar2	233079	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Nr1i2	18171	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Tnf	21926	inhibition	low-throughput
Clostridium sporogenes	1509	gm0710	species	Tlr4	21898	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Abcb1b	18669	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Cyp3a11	13112	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Ugt1a1	394436	activation	low-throughput
Enterococcus faecalis	1351	gm0288	species	Bbox1	64564	inhibition	low-throughput
Pseudomonas aeruginosa	287	gm0551	species	Bbox1	64564	inhibition	low-throughput
Parabacteroides sp. HGS0025	1078087	gm1093	species	Ighm	10619	activation	low-throughput
Parabacteroides sp. HGS0025	1078087	gm1093	species	Il10	16153	activation	low-throughput
Parabacteroides sp. HGS0025	1078087	gm1093	species	Tnf	21926	activation	low-throughput
Lactobacillus	1578	gm0393	genus	Arg1	11846	activation	low-throughput
Lactobacillus	1578	gm0393	genus	Arg1	11846	activation	low-throughput
Clostridium butyricum CGMCC 9831		gm1106	strain	Akt1	11651	activation	low-throughput
Clostridium butyricum CGMCC 9831		gm1106	strain	Casp3	12367	inhibition	low-throughput
Clostridium butyricum CGMCC 9830		gm1111	strain	Bdnf	12064	activation	low-throughput
Clostridium butyricum CGMCC 9830		gm1111	strain	Gcg	14526	activation	low-throughput
Bacteroides thetaiotaomicron VPI-5482	226186	gm1036	strain	Ffar3	233080	inhibition	low-throughput
Akkermansia muciniphila ATCC BAA-835	349741	gm0951	strain	Nrf1	18181	activation	low-throughput
Akkermansia muciniphila ATCC BAA-2869		gm1112	strain	Nrf1	18181	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Sod1	20655	activation	low-throughput
human intestinal bacterium SNU-Julong732	239760	gm1063	strain	Cat	12359	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Nfe2l2	18024	activation	low-throughput
Clostridium butyricum WZMC1016		gm1115	strain	Il1b	16176	inhibition	low-throughput
Clostridium butyricum WZMC1016		gm1115	strain	Tnf	21926	inhibition	low-throughput
Clostridium butyricum WZMC1016		gm1115	strain	Itgam	16409	inhibition	low-throughput
Ruminococcus gnavus	33038	gm0592	species	Htr4	15562	activation	low-throughput
Clostridium sporogenes	1509	gm0710	species	Htr4	15562	activation	low-throughput
Lactococcus lactis subsp. cremoris MG1363	416870	gm1117	strain	Il17a	16171	inhibition	low-throughput
Lactococcus lactis subsp. cremoris MG1363	416870	gm1117	strain	Ifng	15978	inhibition	low-throughput
Lactococcus lactis subsp. cremoris MG1363	416870	gm1117	strain	Il5	16191	inhibition	low-throughput
Bifidobacterium	1678	gm0105	genus	Ido1	15930	activation	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	G6pc	14377	inhibition	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	Pparg	19016	activation	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	Cpt1a	12894	activation	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	Nfe2l2	18024	activation	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	Slc2a4	20528	activation	low-throughput
Clostridium butyricum CGMCC0313.1		gm1122	strain	Ucp1	22227	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Il27	246779	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Cd274	60533	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Entpd1	12495	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Ido1	15930	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Tjp1	21872	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Tjp2	21873	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Ocln	18260	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	F11r	16456	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Cldn1	12737	activation	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Il6	16193	inhibition	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Il1b	16176	inhibition	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Il17a	16171	inhibition	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Tnf	21926	inhibition	low-throughput
Lactobacillus acidophilus ATCC 4356		gm1124	strain	Ifng	15978	inhibition	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tjp1	21872	activation	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tjp2	21873	activation	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Ocln	18260	activation	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	F11r	16456	activation	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Cldn1	12737	activation	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Il6	16193	inhibition	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Il1b	16176	inhibition	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Il17a	16171	inhibition	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tnf	21926	inhibition	low-throughput
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Ifng	15978	inhibition	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Tjp1	21872	activation	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Tjp2	21873	activation	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Ocln	18260	activation	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	F11r	16456	activation	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Cldn1	12737	activation	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Il6	16193	inhibition	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Il1b	16176	inhibition	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Il17a	16171	inhibition	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Tnf	21926	inhibition	low-throughput
Enterococcus faecalis ATCC 19433	1169286	gm1125	strain	Ifng	15978	inhibition	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Tjp1	21872	activation	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Tjp2	21873	activation	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Ocln	18260	activation	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	F11r	16456	activation	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Cldn1	12737	activation	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Il6	16193	inhibition	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Il1b	16176	inhibition	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Il17a	16171	inhibition	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Tnf	21926	inhibition	low-throughput
Escherichia coli ATCC 44102		gm1126	strain	Ifng	15978	inhibition	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Tjp1	21872	activation	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Tjp2	21873	activation	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Ocln	18260	activation	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	F11r	16456	activation	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Cldn1	12737	activation	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Il6	16193	inhibition	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Il1b	16176	inhibition	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Il17a	16171	inhibition	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Tnf	21926	inhibition	low-throughput
Pseudomonas aeruginosa ATCC 9027		gm1127	strain	Ifng	15978	inhibition	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Tjp1	21872	activation	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Tjp2	21873	activation	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Ocln	18260	activation	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	F11r	16456	activation	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Cldn1	12737	activation	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Il6	16193	inhibition	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Il1b	16176	inhibition	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Il17a	16171	inhibition	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Tnf	21926	inhibition	low-throughput
Staphylococcus aureus ATCC 26003		gm1128	strain	Ifng	15978	inhibition	low-throughput
Lactobacillus casei Shirota		gm0953	strain	Tlr4	21898	inhibition	low-throughput
Lactobacillus casei Shirota		gm0953	strain	Myd88	17874	inhibition	low-throughput
Lactobacillus casei Shirota		gm0953	strain	Pparg	19016	activation	low-throughput
Escherichia coli O127:H6 str. E2348/69	574521	gm0942	strain	mct1	17236	inhibition	low-throughput
Alistipes onderdonkii	328813	gm0729	species	Il6	16193	activation	low-throughput
Bacteroides fragilis	817	gm0082	species	Il6	16193	activation	low-throughput
Bacteroides thetaiotaomicron	818	gm0087	species	Il6	16193	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Cldn1	12737	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Ocln	18260	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Tjp1	21872	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Il10	16153	activation	low-throughput
Clostridium butyricum	1492	gm0703	species	Il1b	16176	inhibition	low-throughput
Clostridium butyricum	1492	gm0703	species	Tnf	21926	inhibition	low-throughput
Clostridium butyricum	1492	gm0703	species	Il13	16163	inhibition	low-throughput
Clostridium butyricum	1492	gm0703	species	Nfkb1	18033	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Ggt1	14598	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Slc17a5	235504	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Gpt	76282	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Tnf	21926	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Il1b	16176	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Il6	16193	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Pparg	19016	inhibition	low-throughput
